model,proportion,replica,seed,variable,n_synth,ks_stat,ks_p,delta_mean
ctgan,1.0,3,789,thickness_cm,70,0.1455089820359281,0.21953397680187034,-0.009786142001710962
ctgan,1.0,4,1024,weight_g,71,0.1148688538416125,0.4834686347727387,-0.446429113603779
ctgan,1.0,4,1024,length_cm,71,0.18267689972168333,0.061512934943291527,0.1494307160327235
ctgan,1.0,4,1024,width_cm,71,0.11031458210339884,0.5345151135787348,-0.12935818503837337
ctgan,1.0,4,1024,thickness_cm,71,0.17508644682466046,0.08143538219485362,-0.038719743611368984
tvae,1.0,0,42,weight_g,162,0.07329784874695044,0.7289982561629089,-0.2713986841132545
tvae,1.0,0,42,length_cm,162,0.09133584682486878,0.4609854419674118,-0.15195165225105356
tvae,1.0,0,42,width_cm,162,0.0912619206032379,0.4616954709574953,-0.08218378058697384
tvae,1.0,0,42,thickness_cm,162,0.0359281437125748,0.9996876544592422,-0.00604716492940055
tvae,1.0,1,123,weight_g,165,0.09620758483033931,0.38940970348346704,-0.5615311195790236
tvae,1.0,1,123,length_cm,165,0.12081291961531482,0.15828016046710197,-0.22706949736890003
tvae,1.0,1,123,width_cm,165,0.060569769551805486,0.8946936556829299,-0.05360914534567218
tvae,1.0,1,123,thickness_cm,165,0.0359281437125748,0.9996436888096412,-0.0046779168934859006
tvae,1.0,2,456,weight_g,165,0.08698965704953729,0.5174912943882537,0.08222645617855129
tvae,1.0,2,456,length_cm,165,0.038613681727454274,0.9989229567326318,0.06808201778261491
tvae,1.0,2,456,width_cm,165,0.08873162765378334,0.48632963597078943,0.026390854654327445
tvae,1.0,2,456,thickness_cm,165,0.0729813101070586,0.731280759887675,0.017746325530756557
tvae,1.0,3,789,weight_g,165,0.08408637270912722,0.556845346406909,-0.24789475594266008
tvae,1.0,3,789,length_cm,165,0.07319905643258928,0.728729256702055,-0.12767555797495866
tvae,1.0,3,789,width_cm,165,0.060569769551805486,0.8946936556829299,-0.054215205951733125
tvae,1.0,3,789,thickness_cm,165,0.0359281437125748,0.9996436888096412,0.0007766285610595336
tvae,1.0,4,1024,weight_g,165,0.04024677916893485,0.9979424765294475,-0.006440210488114495
tvae,1.0,4,1024,length_cm,165,0.062311740156051454,0.8758705781842555,0.03535474505534353
tvae,1.0,4,1024,width_cm,165,0.057775358374160785,0.9209886469108761,0.03063327889675227
tvae,1.0,4,1024,thickness_cm,165,0.06086009798584652,0.8926188697260657,0.006231174015605023
